Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Fire,31.581389,-110.331944,6.447305862541213,2026,1,1,0,3,0,-1
Fire,33.2402,-83.520117,7.204892510204673,2026,1,1,0,3,0,4770
Wildfire,38.527029,-104.963722,8.90734159541251,2026,1,1,0,3,0,-1
Fire,34.3097,-110.8792,6.776506992372183,2026,1,1,0,3,0,4772
Fire,31.302,-90.998,6.854354502255021,2026,1,1,0,3,0,4769
Fire,33.9493,-88.9175,6.945051063725834,2026,1,1,0,3,0,4770
Fire,32.3932,-89.6363,7.668561108015897,2026,1,1,0,3,0,4769
Fire,31.277529,-95.202153,7.434847875211999,2026,1,1,0,3,0,4769
Fire,31.478816,-95.287414,7.15305163493748,2026,1,1,0,3,0,4769
Fire,30.535383,-95.71155,7.416378479192928,2026,1,1,0,3,0,4769
Fire,33.2,-86.1,6.511745329644728,2026,1,1,0,3,0,4770
Fire,36.285056,-94.821583,7.078341579557671,2026,1,1,0,3,0,4769
Fire,34.7039,-95.5726,7.336285660021297,2026,1,1,0,3,0,4769
Fire,31.714333,-93.958717,7.245655067594535,2026,1,1,0,3,0,4769
Fire,35.1505,-93.3897,6.86171134048073,2026,1,1,0,3,0,4769
Fire,38.026954,-89.511504,6.3784261836515865,2026,1,1,0,3,0,4769
Fire,35.687897,-93.028483,7.037905963447182,2026,1,1,0,3,0,4769
Fire,31.015383,-92.61045,6.933423025730715,2026,1,1,0,3,0,4769
Wildfire,35.285278,-95.921667,6.935175874558129,2026,1,1,0,3,0,4872
Fire,33.002553,-87.498451,7.379632152609552,2026,1,1,0,3,0,4770
Fire,31.44231,-92.340505,6.8501261661455,2026,1,1,0,3,0,4769
Fire,34.716671,-94.038643,6.637258031284457,2026,1,1,0,3,0,4769
Fire,36.023633,-92.4196,7.467371066917559,2026,1,1,0,3,0,4769
Fire,34.830681,-94.335138,7.527255919373784,2026,1,1,0,3,0,4769
Fire,34.306,-94.671,8.358431899031295,2026,1,1,0,3,0,4769
Fire,34.338967,-94.71035,6.692083742506628,2026,1,1,0,3,0,4769
Fire,35.6835,-93.339556,7.252053951852814,2026,1,1,0,3,0,4769
Fire,37.461583,-91.325139,8.064321960910803,2026,1,1,0,3,0,4769
Wildfire,30.152413,-84.945431,8.70682132339263,2026,1,1,0,3,0,-1
Fire,35.454286,-92.769925,7.270312886079025,2026,1,1,0,3,0,4769
Fire,35.176148,-93.449379,7.256297239690681,2026,1,1,0,3,0,4769
Fire,34.8134,-94.432402,7.920446505142607,2026,1,1,0,3,0,4769
Fire,34.952467,-93.558917,7.87587915949631,2026,1,1,0,3,0,4769
Fire,36.633611,-93.710556,6.962243464266207,2026,1,1,0,3,0,4769
Fire,34.7232,-95.5615,7.491087593534876,2026,1,1,0,3,0,4769
Fire,34.64513,-93.877288,8.183397369998433,2026,1,1,0,3,0,4769
Wildfire,34.9902778,-95.1716667,6.746412128573375,2026,1,1,0,3,0,4872
Fire,34.305967,-110.21895,6.315358001522335,2026,1,1,0,3,0,4772
Fire,34.317467,-110.286367,6.3835066348840055,2026,1,1,0,3,0,4772
